Date,Favorite,Spread,Underdog,Total,Away Money Line,Home Money Line,Year,Week
"November 29, 2015 1:00 PM",at Bengals,-10.0,Rams,42.0,N/A,N/A,2015,12
"November 29, 2015 1:00 PM",Raiders,-1.0,at Titans,45.0,N/A,N/A,2015,12
"November 29, 2015 1:00 PM",Giants,-1.0,at Redskins,48.0,N/A,N/A,2015,12
"November 29, 2015 4:05 PM",Cardinals,-8.0,at 49ers,45.0,N/A,N/A,2015,12
"November 29, 2015 4:25 PM",at Seahawks,-3.0,Steelers,46.0,N/A,N/A,2015,12
"November 29, 2015 8:30 PM",Patriots,-2.0,at Broncos,43.0,N/A,N/A,2015,12
"November 30, 2015 8:30 PM",at Browns,-6.0,Ravens,41.0,N/A,N/A,2015,12
"December 3, 2015 8:25 PM",Packers,-2.5,at Lions,46.5,N/A,N/A,2015,13
"December 6, 2015 1:00 PM",at Bills,-3.0,Texans,42.0,N/A,N/A,2015,13
"December 6, 2015 1:00 PM",at Bears,-6.5,49ers,43.0,N/A,N/A,2015,13
"December 6, 2015 1:00 PM",Bengals,-7.5,at Browns,44.5,N/A,N/A,2015,13
"December 6, 2015 1:00 PM",Cardinals,-3.5,at Rams,43.0,N/A,N/A,2015,13
"December 6, 2015 1:00 PM",at Dolphins,-3.5,Ravens,43.5,N/A,N/A,2015,13
"December 6, 2015 1:00 PM",Seahawks,-2.5,at Vikings,43.0,N/A,N/A,2015,13
"December 6, 2015 1:00 PM",Jets,-2.5,at Giants,46.5,N/A,N/A,2015,13
"December 6, 2015 1:00 PM",at Buccaneers,-1.0,Falcons,46.5,N/A,N/A,2015,13
"December 6, 2015 1:00 PM",at Titans,-3.0,Jaguars,43.5,N/A,N/A,2015,13
"December 6, 2015 4:05 PM",Chiefs,-3.0,at Raiders,45.5,N/A,N/A,2015,13
"December 6, 2015 4:05 PM",Broncos,-5.5,at Chargers,45.0,N/A,N/A,2015,13
"December 6, 2015 4:25 PM",at Patriots,-7.5,Eagles,49.0,N/A,N/A,2015,13
"December 6, 2015 4:25 PM",Panthers,-6.0,at Saints,50.5,N/A,N/A,2015,13
"December 6, 2015 8:30 PM",at Steelers,-10.0,Colts,50.5,N/A,N/A,2015,13
"December 7, 2015 8:30 PM",at Redskins,-2.0,Cowboys,43.0,N/A,N/A,2015,13
"December 10, 2015 8:25 PM",at Cardinals,-10.0,Vikings,46.5,N/A,N/A,2015,14
"December 13, 2015 1:00 PM",Seahawks,-10.5,at Ravens,42.0,N/A,N/A,2015,14
"December 13, 2015 1:00 PM",at Panthers,-8.0,Falcons,45.5,N/A,N/A,2015,14
