Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Ryan Fitzpatrick,TAM,QB,36,2,2,48,61,819,8,1,13,35,2.69,1,0,0,0,,0,,,72,72,76.3,73.3,33,1,1
Tyreek Hill,KAN,WR,24,2,2,0,0,0,0,0,2,4,2.00,0,14,12,259,21.58,3,,,50,62,65.3,56.3,32,1,2
Todd Gurley,LAR,RB,24,2,2,0,0,0,0,0,39,150,3.85,3,8,6,70,11.67,1,2,,50,56,59.0,53.0,30,1,3
Patrick Mahomes,KAN,QB,23,2,2,38,55,582,10,0,10,39,3.90,0,0,0,0,,0,,,67,67,70.2,67.2,28,2,4
DeSean Jackson,TAM,WR,32,2,2,0,0,0,0,0,0,0,,0,9,9,275,30.56,3,,,46,55,57.5,50.0,27,2,5
Alvin Kamara,NOR,RB,23,2,2,0,0,0,0,0,21,75,3.57,2,18,15,165,11.00,1,2,,46,61,64.0,53.5,26,2,6
Carlos Hyde,CLE,RB,28,3,2,0,0,0,0,0,61,203,3.33,4,6,4,15,3.75,0,,,46,50,52.8,47.8,26,3,7
James Conner,PIT,RB,23,2,2,0,0,0,0,0,39,152,3.90,3,11,10,105,10.50,0,1,,44,54,60.7,48.7,24,4,8
Isaiah Crowell,NYJ,RB,25,3,0,0,0,0,0,0,38,171,4.50,4,6,4,21,5.25,0,,,43,47,50.2,45.2,24,6,9
Melvin Gordon,LAC,RB,25,2,2,0,0,0,0,0,24,92,3.83,1,20,15,140,9.33,2,1,,43,58,61.2,50.7,24,5,10
Michael Thomas,NOR,WR,25,2,2,0,0,0,0,0,0,0,,0,30,28,269,9.61,3,,,41,69,73.9,54.9,22,3,11
A.J. Green,CIN,WR,30,2,2,0,0,0,0,0,0,0,,0,17,11,161,14.64,4,,,38,49,53.1,43.6,19,4,12
Stefon Diggs,MIN,WR,25,2,2,0,0,0,0,0,2,9,4.50,0,19,12,171,14.25,3,1,,38,50,53.0,44.0,19,5,13
Kirk Cousins,MIN,QB,30,2,2,55,84,669,6,1,6,31,5.17,0,0,0,0,,0,,1,54,54,57.9,54.9,14,3,14
Mike Evans,TAM,WR,25,2,2,0,0,0,0,0,0,0,,0,19,17,230,13.53,2,,,33,50,54.0,41.5,14,6,15
Will Dissly,SEA,TE,22,2,2,0,0,0,0,0,0,0,,0,10,6,147,24.50,2,,,27,33,35.7,29.7,13,1,16
Philip Rivers,LAC,QB,37,2,2,57,78,680,6,1,3,5,1.67,0,0,0,0,,0,,1,52,52,55.7,52.7,12,4,17
Jesse James,PIT,TE,24,2,2,0,0,0,0,0,0,0,,0,10,8,198,24.75,1,,,26,34,36.8,29.8,12,2,18
JuJu Smith-Schuster,PIT,WR,22,2,1,0,0,0,0,0,0,0,,0,27,18,240,13.33,1,,,30,48,51.0,39.0,11,7,19
Jarvis Landry,CLE,WR,26,3,2,0,0,0,0,0,0,0,,0,37,20,278,13.90,0,,1,30,50,52.8,39.8,11,8,20
Adam Thielen,MIN,WR,28,2,2,0,0,0,0,0,0,0,,0,25,18,233,12.94,1,,,29,47,50.3,38.3,11,9,21
Emmanuel Sanders,DEN,WR,31,2,2,0,0,0,0,0,0,0,,0,15,14,231,16.50,1,,,29,43,46.1,36.1,10,10,22
Joe Mixon,CIN,RB,22,2,2,0,0,0,0,0,38,179,4.71,1,8,6,57,9.50,0,,,30,36,38.6,32.6,10,7,23
Saquon Barkley,NYG,RB,21,2,2,0,0,0,0,0,29,134,4.62,1,22,16,102,6.38,0,,,30,46,51.6,37.6,10,8,24
Ezekiel Elliott,DAL,RB,23,2,2,0,0,0,0,0,32,147,4.59,2,10,8,26,3.25,0,,,29,37,40.3,33.3,10,9,25
Drew Brees,NOR,QB,39,2,2,65,80,682,5,0,1,-1,-1.00,0,0,0,0,,0,,1,49,49,52.2,49.2,10,5,26
Travis Kelce,KAN,TE,29,2,2,0,0,0,0,0,0,0,,0,16,8,115,14.38,2,,,24,32,34.5,27.5,9,3,27
Jay Ajayi,PHI,RB,25,2,1,0,0,0,0,0,22,85,3.86,3,1,1,4,4.00,0,1,,29,30,29.9,29.4,9,10,28
Austin Ekeler,LAC,RB,23,2,0,0,0,0,0,0,16,116,7.25,0,8,8,108,13.50,1,,,28,36,42.4,32.4,9,11,29
Jared Cook,OAK,TE,31,2,2,0,0,0,0,0,0,0,,0,16,13,229,17.62,0,,,23,36,38.9,29.4,9,4,30
Chris Thompson,WAS,RB,28,2,0,0,0,0,0,0,9,66,7.33,0,21,19,155,8.16,1,,,28,47,50.1,37.6,9,12,31
Ben Roethlisberger,PIT,QB,36,2,2,62,101,787,4,3,5,25,5.00,1,0,0,0,,0,,1,48,48,56.0,51.0,8,6,32
Quincy Enunwa,NYJ,WR,26,3,3,0,0,0,0,0,0,0,,0,29,17,212,12.47,1,,,27,44,47.2,35.7,8,11,33
Davante Adams,GNB,WR,26,2,2,0,0,0,0,0,0,0,,0,20,13,152,11.69,2,,,27,40,43.2,33.7,8,12,34
Bilal Powell,NYJ,RB,30,3,3,0,0,0,0,0,31,139,4.48,0,9,6,79,13.17,1,,,28,34,36.8,30.8,8,13,35
Phillip Lindsay,DEN,RB,24,2,0,0,0,0,0,0,29,178,6.14,0,4,3,35,11.67,1,,,27,30,33.3,28.8,8,14,36
Kenny Golladay,DET,WR,25,2,2,0,0,0,0,0,0,0,,0,21,13,203,15.62,1,,,26,39,42.3,32.8,8,13,37
Matt Breida,SFO,RB,23,2,1,0,0,0,0,0,22,184,8.36,1,6,4,26,6.50,0,,,27,31,34.0,29.0,7,15,38
John Brown,BAL,WR,28,2,2,0,0,0,0,0,1,1,1.00,0,14,7,136,19.43,2,,,26,33,35.7,29.2,7,14,39
Golden Tate,DET,WR,30,2,0,0,0,0,0,0,1,9,9.00,0,28,14,188,13.43,1,,,26,40,42.7,32.7,7,15,40
O.J. Howard,TAM,TE,24,2,2,0,0,0,0,0,0,0,,0,6,5,150,30.00,1,,,21,26,29.0,23.5,7,5,41
Brandin Cooks,LAR,WR,25,2,2,0,0,0,0,0,1,6,6.00,0,17,12,246,20.50,0,,,25,37,40.2,31.2,6,16,42
Cam Newton,CAR,QB,29,2,2,49,71,496,3,1,18,100,5.56,1,0,0,0,,0,,,46,46,52.8,46.8,6,7,43
Blake Bortles,JAX,QB,26,2,2,47,78,552,5,2,10,77,7.70,0,0,0,0,,0,,,46,46,50.8,47.8,6,8,44
T.Y. Hilton,IND,WR,29,2,2,0,0,0,0,0,0,0,,0,22,12,129,10.75,2,,,25,37,39.9,30.9,6,17,45
Adrian Peterson,WAS,RB,33,2,2,0,0,0,0,0,37,116,3.14,1,6,5,100,20.00,0,,,26,31,37.6,28.1,6,16,46
Julio Jones,ATL,WR,29,2,2,0,0,0,0,0,1,11,11.00,0,28,15,233,15.53,0,,,24,39,42.4,31.9,6,18,47
Eric Ebron,IND,TE,25,2,1,0,0,0,0,0,0,0,,0,9,7,77,11.00,2,,,20,27,26.7,23.2,6,6,48
Kenny Stills,MIA,WR,26,2,2,0,0,0,0,0,0,0,,0,8,6,123,20.50,2,,,24,30,33.3,27.3,6,19,49
DeAndre Hopkins,HOU,WR,26,2,2,0,0,0,0,0,1,-7,-7.00,0,22,14,188,13.43,1,,,24,38,41.1,31.1,5,20,50
Tyler Lockett,SEA,WR,26,2,2,0,0,0,0,0,0,0,,0,11,8,119,14.88,2,,,24,32,34.9,27.9,5,21,51
Keenan Allen,LAC,WR,26,2,2,0,0,0,0,0,0,0,,0,19,14,175,12.50,1,,,24,38,40.5,30.5,5,22,52
Randall Cobb,GNB,WR,28,2,2,0,0,0,0,0,0,0,,0,16,13,172,13.23,1,,,23,36,39.2,29.7,4,23,53
Keelan Cole,JAX,WR,25,2,2,0,0,0,0,0,0,0,,0,12,10,170,17.00,1,,,23,33,36.0,28.0,4,24,54
Marshawn Lynch,OAK,RB,32,2,2,0,0,0,0,0,29,106,3.66,2,3,4,11,2.75,0,,,24,28,30.7,25.7,4,17,55
