Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Jeremy Hill,NWE,RB,26,1,0,0,0,0,0,0,4,25,6.25,0,1,1,6,6.00,0,,,3,4,4.1,3.6,,76,
Allen Hurns,DAL,WR,27,2,1,0,0,0,0,0,0,0,,0,5,2,29,14.50,0,,,3,5,4.9,3.9,,105,
Jermaine Kearse,NYJ,WR,28,2,0,0,0,0,0,0,0,0,,0,8,4,34,8.50,0,,,3,7,7.4,5.4,,98,
Christian Kirk,ARI,WR,22,2,0,0,0,0,0,0,0,0,,0,7,5,31,6.20,0,,,3,8,8.1,5.6,,101,
Vance McDonald,PIT,TE,28,1,0,0,0,0,0,0,0,0,,0,5,3,26,8.67,0,,,3,6,5.6,4.1,,47,
David Morgan,MIN,TE,25,2,1,0,0,0,0,0,0,0,,0,3,3,28,9.33,0,,,3,6,5.8,4.3,,43,
Greg Olsen,CAR,TE,33,1,1,0,0,0,0,0,0,0,,0,2,2,33,16.50,0,,,3,5,5.3,4.3,,38,
Tim Patrick,DEN,WR,25,2,0,0,0,0,0,0,0,0,,0,4,1,26,26.00,0,,,3,4,3.6,3.1,,108,
Mohamed Sanu,ATL,WR,29,2,2,0,0,0,0,0,1,-4,-4.00,0,8,6,37,6.17,0,,,3,9,9.3,6.3,,99,
Tajae Sharpe,TEN,WR,24,2,2,0,0,0,0,0,0,0,,0,5,2,31,15.50,0,,,3,5,5.1,4.1,,100,
Darren Sproles,PHI,RB,35,1,1,0,0,0,0,0,5,10,2.00,0,7,4,22,5.50,0,,,3,7,7.2,5.2,,73,
Neal Sterling,NYJ,TE,26,2,2,0,0,0,0,0,0,0,,0,3,3,27,9.00,0,,,3,6,5.7,4.2,,45,
Ryan Switzer,2TM,WR,24,2,0,0,0,0,0,0,3,13,4.33,0,3,1,14,14.00,0,,,3,4,3.7,3.2,,107,
Trent Taylor,SFO,WR,24,2,0,0,0,0,0,0,0,0,,0,8,4,28,7.00,0,,,3,7,6.8,4.8,,106,
Jordan Thomas,HOU,TE,22,2,1,0,0,0,0,0,0,0,,0,5,1,27,27.00,0,,,3,4,3.7,3.2,,46,
Logan Thomas,BUF,TE,27,2,0,0,0,0,0,0,0,0,,0,3,2,31,15.50,0,,,3,5,5.1,4.1,,40,
Nick Vannett,SEA,TE,25,2,2,0,0,0,0,0,0,0,,0,7,4,34,8.50,0,,,3,7,7.4,5.4,,37,
Travis Benjamin,LAC,WR,29,1,0,0,0,0,0,0,1,19,19.00,0,5,1,1,1.00,0,,,2,3,3.0,2.5,,110,
Trenton Cannon,NYJ,RB,24,3,0,0,0,0,0,0,6,15,2.50,0,1,1,6,6.00,0,,,2,3,3.1,2.6,,81,
Austin Carr,NOR,WR,25,2,1,0,0,0,0,0,0,0,,0,3,2,20,10.00,0,,,2,4,4.0,3.0,,109,
Vernon Davis,WAS,TE,34,2,1,0,0,0,0,0,0,0,,0,2,2,16,8.00,0,,,2,4,3.6,2.6,,60,
James Develin,NWE,RB,30,2,1,0,0,0,0,0,0,0,,0,5,4,22,5.50,0,,,2,6,6.2,4.2,,79,
Patrick DiMarco,BUF,RB,29,2,1,0,0,0,0,0,0,0,,0,1,1,24,24.00,0,,,2,3,3.4,2.9,,77,
Rhett Ellison,NYG,TE,30,2,2,0,0,0,0,0,0,0,,0,3,3,21,7.00,0,,,2,5,5.1,3.6,,52,
Gerald Everett,LAR,TE,24,2,0,0,0,0,0,0,0,0,,0,2,1,17,17.00,0,,,2,3,2.7,2.2,,58,
Wayne Gallman,NYG,RB,24,2,0,0,0,0,0,0,2,1,0.50,0,3,3,20,6.67,0,,,2,5,5.1,3.6,,80,
Ryan Griffin,HOU,TE,28,2,2,0,0,0,0,0,0,0,,0,6,1,19,19.00,0,,,2,3,2.9,2.4,,55,
Josh Hill,NOR,TE,28,2,1,0,0,0,0,0,0,0,,0,2,2,20,10.00,0,,,2,4,4.0,3.0,,53,
Lance Kendricks,GNB,TE,30,2,0,0,0,0,0,0,0,0,,0,2,2,17,8.50,0,,,2,4,3.7,2.7,,59,
Tyler Kroft,CIN,TE,26,2,1,0,0,0,0,0,0,0,,0,3,3,20,6.67,0,,,2,5,5.0,3.5,,54,
Marcus Mariota,TEN,QB,25,1,1,9,16,103,0,2,3,15,5.00,0,0,0,0,,0,,,2,2,3.6,3.6,,35,
Chris Moore,BAL,WR,25,2,0,0,0,0,0,0,1,2,2.00,0,4,3,14,4.67,0,,,2,5,4.6,3.1,,114,
Roosevelt Nix,PIT,RB,26,2,0,0,0,0,0,0,0,0,,0,1,1,19,19.00,0,,,2,3,2.9,2.4,,82,
James O'Shaughnessy,JAX,TE,26,2,0,0,0,0,0,0,0,0,,0,3,1,17,17.00,0,,,2,3,2.7,2.2,,57,
Zach Pascal,IND,WR,24,2,0,0,0,0,0,0,0,0,,0,1,1,18,18.00,0,,,2,3,2.8,2.3,,111,
Niles Paul,JAX,TE,29,2,0,0,0,0,0,0,0,0,,0,2,1,22,22.00,0,,,2,3,3.2,2.7,,51,
C.J. Prosise,SEA,RB,24,2,0,0,0,0,0,0,0,0,,0,3,3,22,7.33,0,,,2,5,5.2,3.7,,78,
Tre'Quan Smith,NOR,WR,22,2,1,0,0,0,0,0,0,0,,0,2,1,18,18.00,0,,,2,3,2.8,2.3,,112,
Geoff Swaim,DAL,TE,25,2,2,0,0,0,0,0,0,0,,0,4,3,18,6.00,0,,,2,5,4.8,3.3,,56,
Terrance Williams,DAL,WR,29,2,1,0,0,0,0,0,0,0,,0,3,2,18,9.00,0,,,2,4,3.8,2.8,,113,
Shaun Wilson,TAM,RB,23,2,0,0,0,0,0,0,2,15,7.50,0,0,0,0,,0,,,2,2,1.5,1.5,,83,
Josh Bellamy,CHI,WR,29,2,0,0,0,0,0,0,0,0,,0,1,1,6,6.00,0,,,1,2,1.6,1.1,,121,
Michael Burton,CHI,RB,26,1,1,0,0,0,0,0,0,0,,0,1,1,6,6.00,0,,,1,2,1.6,1.1,,94,
DeAndre Carter,PHI,WR,25,2,1,0,0,0,0,0,0,0,,0,1,1,10,10.00,0,,,1,2,2.0,1.5,,117,
